שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
בוני תיכון     	ריאלי - נדלן ובינוי - נדלן ובינוי         	תד 613, אזור התעשיה, יבנה                  	08-9320707  	08-9320750 	www.boh.co.il                  	nurit@boh.co.il                   	בוני התיכון הנדסה אזרחית ותשתיות בעמ        	531       	520040304
בזק            	ריאלי - מסחר ושרותים - תקשורת ומדיה       	מנחם בגין 132, בנין משולש, תל אביב         	03-6262200  	03-6262209 	www.bezeq.co.il                	linoryo@bezeq.com                 	בזק החברה הישראלית לתקשורת בעמ              	230       	520031931
בי ג'י איי     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	דרך מנחם בגין 132, תל אביב                 	03-7401770  	03-7401791 	                               	info@bgi.co.il                    	בי.ג'י.איי השקעות (1961) בעמ                	1238      	510291750
בי קומיונקיישנס	ריאלי - מסחר ושרותים - תקשורת ומדיה       	דב פרידמן 2, רמת גן                        	03-9240000  	03-7530075 	www.bcommunications.co.il      	doron@igld.com                    	בי קומיוניקיישנס בעמ                        	1422      	512832742
בי.אס.פי       	הייטק - ביומד - מכשור רפואי               	ראול וולנברג 22 א', תל אביב                	03-6474840  	03-6471498 	www.bsp.co.il                  	tamirb@bsp.co.il                  	בי.אס.פי עיבוד אותות ביולוגיים בעמ          	1320      	512854514
ביג            	ריאלי - נדלן ובינוי - נדלן ובינוי         	ספיר 1, הרצליה                             	073-2600400 	073-2600426	www.bigcenters.co.il           	israely@bigcenters.co.il          	ביג מרכזי קניות בעמ                         	1327      	513623314
ביו ויו        	הייטק - ביומד - מכשור רפואי               	פקריס 3, רחובות                            	08-9366868  	08-9366869 	www.bioview.co.il              	alan@bioview.co.il                	ביו ויו בעמ                                 	1305      	512671371
ביו לייט       	הייטק - ביומד - השקעות במדעי החיים        	קרית עתידים בנין 3, תל אביב                	073-2753401 	073-2753401	www.bio-light.co.il            	suzana@bio-light.co.il            	ביו לייט השקעות במדעי החיים בישראל בעמ      	1293      	513680793
ביוליין אר אקס 	הייטק - ביומד - ביוטכנולוגיה              	הרטום 19, ירושלים                          	02-5489100  	02-5489101 	www.biolinerx.com              	info@biolinerx.com                	ביוליין אר אקס בעמ                          	1394      	513398750
ביומדיקס       	הייטק - ביומד - השקעות במדעי החיים        	מגדל משה אביב, ז'בוטינסקי 7, רמת-גן        	03-6114514  	03-6114515 	www.biomedixincubator.com      	elad@biomedixincubator.com        	ביומדיקס אינקובטור בעמ                      	368       	520038126
ביונדווקס      	הייטק - ביומד - ביוטכנולוגיה              	איישטיין 14, נס ציונה                      	08-9302529  	08-9302531 	www.biondvax.com               	babecoff@biondvax.com             	ביונדווקס פרמצבטיקה בעמ                     	1468      	513436105
ביו-סל         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מגדל משה אביב, ז'בוטינסקי 7, רמת-גן        	03-6114514  	03-6114515 	                               	b-zeev@zahav.net.il               	ביו-סל בעמ                                  	278       	520037136
ביוקנסל        	הייטק - ביומד - ביוטכנולוגיה              	כפר ההיי-טק 1/3, ירושלים                   	02-5486555  	02-5486550 	www.biocancell.com             	avraham.hampel@biocancell.com     	ביוקנסל בעמ                                 	1600      	514672625
ביטוח ישיר     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אפעל 35, פתח-תקוה                          	03-6251400  	03-9191330 	www.d-ifi.com                  	ori@d-ifi.com                     	ביטוח ישיר - השקעות פיננסיות בעמ            	1089      	520044439
ביי2 נטוורקס   	הייטק - טכנולוגיה - תוכנה ואינטרנט        	החרש 4, הוד השרון                          	073-2003000 	057-7970848	www.netexcorp.com              	nellys@netexcorp.com              	ביי2 נטוורקס בעמ                            	1329      	512758350
בינלאומי       	פיננסי - בנקים - בנקים                    	רוטשילד 42, תל-אביב                        	03-5196223  	03-5100316 	www.fibi.co.il                 	mazkir@fibimail.co.il             	הבנק הבינלאומי הראשון לישראל בעמ            	593       	520029083
בינלאומי הנפקות	פיננסי - בנקים - בנקים                    	רוטשילד 42, תל-אביב                        	03-5196223  	03-5100316 	                               	mazkir@fibimail.co.il             	הבינלאומי הראשון הנפקות בעמ                 	1153      	513141879
בירמן          	ריאלי - תעשיה - עץ, נייר ודפוס            	תד 102, טבריה                              	04-6768000  	04-6733464 	www.birman.co.il               	haim@birman.co.il                 	בירמן עצים ופרזול בעמ                       	530       	520040320
בית הזהב       	ריאלי - נדלן ובינוי - נדלן ובינוי         	משה דיין 66, תל-אביב                       	03-6300600  	03-6300700 	www.golden-house.co.il         	moshek@golden-house.co.il         	בית-הזהב בעמ                                	235       	520034562
בית שמש        	ריאלי - תעשיה - מתכת ומוצרי בניה          	ד.נ. האלה, בית שמש                         	02-9909201  	02-9916713 	www.bsel.co.il                 	pincas@bsel.co.il                 	מנועי בית שמש אחזקות (1997) בעמ             	1054      	520043480
בסר אירופה     	ריאלי - נדלן ובינוי - נדלן ובינוי         	מגדל גבור ספורט, מנחם בגין 7, רמת-גן       	03-6114410  	03-6114411 	www.bsreurope.com              	bsreurope@bsr.co.il               	ב.ס.ר אירופה בעמ                            	117       	520033838
בראק אן וי     	ריאלי - נדלן ובינוי - נדלן ובינוי         	BARBARA STROZZILAAN 201, AMSTERDAM         	020-5141000 	020-4216693	www.brack-capital.com          	fganea@brack-capital.com          	בראק קפיטל פרופרטיז אן וי                   	1560      	0
ברוקלנד        	ריאלי - נדלן ובינוי - נדלן ובינוי         	עוד דוויק, מגדל בסר 2, בני ברק             	03-6006888  	03-6006889 	                               	aviram@ad-law.co.il               	ברוקלנד אפריל לימיטד                        	1617      	0
בריטיש ישראל   	ריאלי - נדלן ובינוי - נדלן ובינוי         	שדרות אבא אבן 1, הרצליה                    	09-9525555  	09-9525574 	www.melisron.co.il             	guyk@melisron.co.il               	בריטיש-ישראל השקעות בעמ                     	1438      	513448969
בריינסוויי     	הייטק - ביומד - מכשור רפואי               	הרטום 19, ירושלים                          	02-5813140  	02-5812517 	www.brainsway.com              	uzis@brainsway.com                	בריינסוויי בעמ                              	1386      	513890764
בריל           	ריאלי - תעשיה - אופנה והלבשה              	יעקב פריימן 20א, אזור תעשיה, ראשון-לציון   	03-9501875  	03-9666011 	www.gali.co.il                 	amnon@gali.co.il                  	בריל תעשיות נעליים  בעמ                     	399       	520038647
ברימאג דיגיטל  	ריאלי - מסחר ושרותים - מסחר               	השקמה 19, אזור                             	03-7358000  	03-5594224 	www.brimag.co.il               	linar.brimag.co.il                	ברימאג דיגיטל אייג' בעמ                     	1269      	511786378
ברם תעשיות     	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	הגלילונית 7, שדרות                         	08-6611355  	08-6611445 	www.bram.co.il                 	info@hai-plastic.co.il            	ברם תעשיות בעמ                              	1274      	513579482
ברן            	ריאלי - מסחר ושרותים - שרותים             	עומרים 8, אזור תעשיה, עומר                 	08-6200100  	08-6200201 	www.barangroup.com             	sasson.shilo@barangroup.com       	קבוצת ברן בעמ                               	286       	520037250
ברנד           	ריאלי - תעשיה - מתכת ומוצרי בניה          	אזור תעשיה, תד 145, ירוחם                  	08-6589588  	08-6580353 	www.brand-industries.com       	mail@brand.org.il                 	ברנד תעשיות בעמ                             	536       	520040346
בתי זיקוק      	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	תד 4, חיפה                                 	04-8788111  	04-8788850 	www.orl.co.il                  	bazan@orl.co.il                   	בתי זקוק לנפט בעמ                           	259       	520036658
גאון אחזקות    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ת.ד. 39, רמלה                              	03-7954100  	03-7954103 	www.gaon.com                   	sharon@gaon.com                   	ב.גאון אחזקות בעמ                           	1452      	512623950
גב ים          	ריאלי - נדלן ובינוי - נדלן ובינוי         	תד 15041, חיפה                             	04-6644200  	04-8533567 	www.gav-yam.co.il              	info@gav-yam.co.il                	חברת גב-ים לקרקעות בעמ                      	759       	520001736
גבעות יהש      	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	השקד 9, פארק תעשיות, מודיעין               	03-6284901  	03-6284920 	www.givot.co.il                	givot@givot.co.il                 	גבעות עולם חיפושי נפט - שותפות מוגבלת (1993)	506       	550013189
גו.די.אם       	הייטק - ביומד - ביוטכנולוגיה              	דרך השלום 4, תל אביב                       	03-6099292  	03-6098822 	                               	godm_1@netvision.net.il           	גו.די.אם השקעות בעמ                         	494       	520039900
ג'ובוקיט החזקות	הייטק - טכנולוגיה - תוכנה ואינטרנט        	ג'ובוקיט טכנו',התדהר 17, רעננה             	09-7733045  	09-7733048 	www.jobookit.com               	rafi@jobookit.com                 	ג'ובוקיט החזקות בעמ                         	462       	520039348
גולד           	ריאלי - מסחר ושרותים - שרותים             	אצל קונטרם, הקידמה, תד 4091, אשדוד         	08-8547002  	08-8523404 	www.conterm.co.il              	conterm@conterm.co.il             	קבוצת גולד בונד בעמ                         	149       	520034349
גוליבר         	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	מנחם בגין 11, קומה 12, רמת גן              	03-6120033  	03-6124050 	                               	ginko@bezeqint.net                	גוליבר אנרג'י בעמ                           	484       	520039850
גולן פלסטיק    	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	קיבוץ שער הגולן, דנ עמק הירדן              	04-6677432  	04-6677451 	www.golan-plastic.com          	golan@golan-plastic.com           	גולן מוצרי פלסטיק בעמ                       	1226      	513029975
גולף           	ריאלי - מסחר ושרותים - מסחר               	פנחס רוזן 57, תל אביב                      	03-6451653  	03-6476104 	www.golfco.co.il               	olia@golfco.co.il                 	קבוצת גולף א.ק. בעמ                         	1310      	510289564
גזית גלוב      	ריאלי - נדלן ובינוי - נדלן ובינוי         	דרך השלום 1, תל-אביב                       	03-6948000  	03-6961910 	www.gazit-globe.com            	ir@gazitgroup.com                 	גזית-גלוב בעמ                               	126       	520033234
גטר גרופ       	ריאלי - מסחר ושרותים - מסחר               	שמשון 7, תד 10191, פתח תקוה                	03-5761507  	03-5766704 	www.getter.co.il               	michaelaf@getter.co.il            	גטר גרופ בעמ                                	1026      	520042326
ג'י.אף.סי גרין 	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	קנטור, אבא הלל סילבר 12, רמת גן            	03-6133371  	03-6133372 	                               	asher@zamir-cpa.co.il             	ג'י.אף.סי גרין פילדס קפיטל בעמ              	1568      	514403120
גילת           	הייטק - טכנולוגיה - ציוד תקשורת           	יגיע כפיים 21, פתח תקוה                    	03-9252003  	03-9252945 	www.gilat.com                  	alonl@gilat.com                   	גילת רשתות לווין בעמ                        	2030      	520038936
גינדי השקעות   	ריאלי - נדלן ובינוי - נדלן ובינוי         	מנחם בגין 11, רמת גן                       	03-6114611  	03-6114612 	www.gindigroup.com             	office@gindi-inv.com              	גינדי השקעות 1 בעמ                          	1308      	513433656
גירון פיתוח    	ריאלי - נדלן ובינוי - נדלן ובינוי         	ז'בוטינסקי 5, רעננה                        	09-7744111  	09-7744114 	                               	gironisr@netvision.net.il         	גירון פיתוח ובניה בעמ                       	1130      	520044520
גלוב אקספ יהש  	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	אופנהיימר 5, רחובות                        	03-6141856  	03-6141857 	                               	contact@goe.co.il                 	גלוב אקספלוריישן(י.ח.ד)שותפות מוגבלת        	1548      	550235295
גלובל כנפיים   	ריאלי - מסחר ושרותים - שרותים             	אבא הלל סילבר 12, רמת גן                   	03-6539999  	03-6539977 	                               	knafaim@knafaim.co.il             	גלובל כנפיים ליסינג בעמ                     	1559      	513342444
גלטן ביודיזל(ש)	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל ויקטור תשובה,היצירה 3, רמת גן          	03-6138484  	03-6138585 	                               	eli@galtengroup.com               	גלטן ביודיזל בעמ                            	295       	520037276
גמאטרוניק      	ריאלי - תעשיה - חשמל                      	הקריה לתעשיות מדע, תד 45029, ירושלים       	02-5888222  	02-5827785 	www.gamatronic.co.il           	info@gamatronic.co.il             	גמאטרוניק תעשיות אלקטרוניות בעמ             	1001      	520041872
גמול השקעות    	ריאלי - נדלן ובינוי - נדלן ובינוי         	משכית 8, הרצליה                            	073-2787000 	073-2787010	                               	eli.b@gmul.co.il                  	גמול חברה להשקעות בעמ                       	1134      	520018136
גן שמואל       	ריאלי - תעשיה - מזון                      	קיבוץ גן שמואל, דנ חפר                     	04-6320039  	04-6320032 	www.ganshmuel.com              	itzikl@ganshmuel.com              	גן שמואל מזון בעמ                           	532       	520039934
גניגר          	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	                                           	04-6544222  	04-6544211 	www.ginegar.com                	gpp@ginegar.co.il                 	גניגר מפעלי פלסטיק בעמ                      	1301      	512416991
גפן השק(ש)     	הייטק - ביומד - השקעות במדעי החיים        	צומת אבא הלל א.ת.צפוני, אשקלון             	08-6751122  	08-6751113 	www.gefenbiomed.com            	amir.hasidim@gefenbiomed.com      	גפן השקעות ביומד בעמ                        	264       	520036773
ג'רוסלם השקעות 	הייטק - טכנולוגיה - השקעות בהייטק         	אצל מעין ונצורס,אלומות 12, עומר            	052-8088088 	03-6178485 	www.jtechinv.com               	yifat@jtechinv.com                	ג'רוסלם השקעות בטכנולוגיות בעמ              	1105      	512316340
גרינסטון       	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	ז'בוטינסקי 7, רמת גן                       	03-6114933  	03-6114934 	                               	noa@gstone.co.il                  	גרינסטון תעשיות בעמ                         	770       	520031345
דה זראסאי גרופ 	ריאלי - נדלן ובינוי - נדלן ובינוי         	שמעונוב,מנחם בגין 11,ק'23, רמת גן          	03-6111000  	03-6133355 	                               	adam@pinnacleny.com               	דה זראסאי גרופ לטד                          	1604      	0
דה לסר         	ריאלי - נדלן ובינוי - נדלן ובינוי         	47TH ST 1481, BROOKLYN, NY                 	718-4385100 	718-4380164	                               	                                  	דה לסר גרופ לימיטד                          	1513      	0
דוניץ          	ריאלי - נדלן ובינוי - נדלן ובינוי         	בנין כרמית, ז'בוטינסקי 65, ראשון-לציון     	03-9673650  	03-9673651 	www.dunietz.co.il              	admin@dunietz.co.il               	אחים דוניץ בעמ                              	400       	520038605
דור אלון       	ריאלי - מסחר ושרותים - שרותים             	יורופארק יקום, בנין צרפת, קיבוץ יקום       	09-9618501  	09-9618636 	www.doralon.co.il              	llan.kliger@alon-oil.co.il        	דור אלון אנרגיה בישראל (1988) בעמ           	1072      	520043878
דורי בניה      	ריאלי - נדלן ובינוי - נדלן ובינוי         	ירושלים 34, רעננה                          	09-9705500  	09-9705506 	www.dori.co.il                 	mail@dori.co.il                   	א.דורי בניה בעמ                             	1533      	512660341
דורי קבוצה     	ריאלי - נדלן ובינוי - נדלן ובינוי         	ניסים אלוני 10, תל אביב                    	03-7778111  	03-5331462 	www.dorigroup.co.il            	hadar@dorigroup.co.il             	קבוצת א.דורי בעמ                            	473       	520039660
דורסל          	ריאלי - נדלן ובינוי - נדלן ובינוי         	המדע 2, תד 142, יקנעם                      	04-9596777  	04-9890484 	www.dorsel.co.il               	info@dorsel.co.il                 	דורסל (ב.א.ז.) בעמ                          	1312      	512112806
די מדיקל(ש)    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	תד 25176, תל אביב                          	03-5687788  	03-5687797 	                               	info@springnow.com                	די מדיקל אינדסטריס בעמ                      	1010      	520041955
די פארם        	הייטק - ביומד - ביוטכנולוגיה              	ספיר 7, נס ציונה                           	08-9385100  	08-9300795 	www.dpharm.com                 	oyamin@dpharm.com                 	די פארם בעמ                                 	2230      	511799835
די רום         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל אפסוויג, ז'בוטינסקי 7, רמת גן          	03-6114922  	03-6114923 	                               	yaron@upswing.co.il               	די-רום חברה לבניה השקעות ופיתוח בעמ         	599       	520033804
די.אן.איי ביומד	הייטק - ביומד - השקעות במדעי החיים        	שמעון התירסי 43, תל אביב                   	03-5462550  	03-5462570 	                               	contact@ec-cpa.com                	די.אן.איי ביומדיקל סולושינס בעמ             	1435      	513600056
דיסקונט        	פיננסי - בנקים - בנקים                    	יהודה הלוי 23, תל-אביב                     	03-5145582  	03-5171674 	www.discountbank.net           	ruth.moshkovitz@discountbank.co.il	בנק דיסקונט לישראל בעמ                      	691       	520007030
דיסקונט השקעות 	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	עזריאלי 3, ק'43, דרך מנחם בגין, תל-אביב    	03-6075888  	03-6075889 	www.dic.co.il                  	investor.relations@dic.co.il      	חברת השקעות דיסקונט בעמ                     	639       	520023896
דיסקונט מנפיקים	פיננסי - בנקים - בנקים                    	יהודה הלוי 23, תל-אביב                     	03-5145582  	03-5171674 	                               	anat.achiaz@discountbank.co.il    	דיסקונט מנפיקים בעמ                         	748       	520029935
דירקט קפיטל    	ריאלי - נדלן ובינוי - נדלן ובינוי         	אבא אבן 8, הרצליה                          	03-7778600  	03-7778601 	                               	nurit@europort.co.il              	דירקט קפיטל אינווסטמנטס בעמ                 	111       	520033861
דלק אנרגיה     	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	קבוצת דלק, גיבורי ישראל 7, נתניה           	09-8638444  	09-8638577 	www.delekenergy.co.il          	yaelg@delek-group.com             	דלק מערכות אנרגיה בעמ                       	565       	520032681
דלק קבוצה      	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	גיבורי ישראל 7,אזור תעשיה חדש, נתניה דרום  	09-8638555  	09-8854955 	www.delek-group.com            	bartfeld@delek.co.il              	קבוצת דלק בעמ                               	1095      	520044322
דלק קידוחים יהש	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	אבא אבן 12, הרצליה פיתוח                   	09-9712424  	09-9712425 	www.delekenergy.co.il          	shadar_i@delekng.co.il            	דלק קידוחים - שותפות מוגבלת                 	475       	550013098
דלק רכב        	ריאלי - מסחר ושרותים - מסחר               	תד 200, מושב ניר צבי                       	08-9139804  	08-9139946 	www.delekmotors.co.il          	r.bachar@delekmotors.co.il        	דלק מערכות רכב בעמ                          	829       	520033291
דלתא           	ריאלי - תעשיה - אופנה והלבשה              	בית הטקסטיל, קאופמן 2, תל-אביב             	03-5193744  	03-5193730 	www.deltagalil.com             	yossi.hajaj@deltagalil.com        	דלתא-גליל תעשיות בעמ                        	627       	520025602
דמרי           	ריאלי - נדלן ובינוי - נדלן ובינוי         	ירושלים 1, נתיבות                          	08-9939000  	08-9944437 	www.dimri.co.il                	aviv@dimri.co.il                  	י.ח.דמרי בניה ופיתוח בעמ                    	1193      	511399388
דן מלונות      	ריאלי - מסחר ושרותים - מלונאות ותיירות    	הירקון 111, תל אביב                        	03-5203980  	03-5204065 	www.danhotels.co.il            	finance@danhotels.com             	מלונות דן בעמ                               	822       	520023573
דנאל כא        	ריאלי - מסחר ושרותים - שרותים             	אבא הלל 12, רמת-גן                         	03-7564032  	03-7564031 	www.edanel.co.il               	alon@edanel.co.il                 	דנאל (אדיר יהושע) בעמ                       	314       	520037565
דניה סיבוס     	ריאלי - נדלן ובינוי - נדלן ובינוי         	יוני נתניהו 1ג, אור-יהודה                  	03-5383838  	03-6340340 	www.danya-cebus.co.il          	amir@danya-cebus.co.il            	דניה סיבוס בעמ                              	1096      	512569237
דקסיה ישראל    	פיננסי - בנקים - בנקים                    	מגדלי התיכון, הארבעה 19, ק' 4, תל-אביב     	03-7647600  	03-6868336 	www.dexia-israel.co.il         	saritl@dexia-isral.co.il          	בנק דקסיה ישראל בעמ                         	711       	520019753
דקסיה ישראל הנפ	פיננסי - בנקים - בנקים                    	מגדלי תיכון, הארבעה 19, ק' 4, תל אביב      	03-7647600  	03-6868336 	                               	sarit.lipkovitz@dexia-isral.co.il 	דקסיה ישראל הנפקות בעמ                      	1291      	513704304
דרבן           	ריאלי - נדלן ובינוי - נדלן ובינוי         	תוצרת הארץ 7, תל-אביב                      	03-9070000  	03-9070090 	www.darban.co.il               	office@darban.co.il               	דרבן השקעות בעמ                             	411       	520038902
הדסית ביו      	הייטק - ביומד - השקעות במדעי החיים        	הדסה עין כרם, תד 12000, ירושלים            	02-5722054  	02-6437712 	www.hbl.co.il                  	info@hbl.co.il                    	אייץ' בי אל - הדסית ביו החזקות בעמ          	1294      	513734590
הוט            	ריאלי - מסחר ושרותים - תקשורת ומדיה       	בית ספרד, יורופארק 1, יקום                 	077-7077000 	077-7078230	www.hot.net.il                 	orit.gidron@hot.net.il            	הוט-מערכות תקשורת בעמ                       	510       	520040072
הזדמנות ישראלית	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	הלמן אלדובי, בן גוריון 2, רמת גן           	03-6116111  	03-6116110 	www.oilandgas.co.il            	inbar@oilandgas.co.il             	הזדמנות ישראלית מקורות אנרגיה שותפות מוגבלת 	1551      	550236822
הכשרה אנרגיה   	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	שנקר 2, תל אביב                            	03-7962224  	03-7962226 	                               	kim@ildc.co.il                    	חברת הכשרת הישוב בישראל -אנרגיה בעמ         	1561      	514423474
הכשרה החז (ש)  	פיננסי - ביטוח - ביטוח                    	שנקר 2, תל-אביב                            	03-7962624  	03-5168338 	www.hcsra.co.il                	royd@hcsra.co.il                  	הכשרת החזקות ביטוח בעמ                      	508       	520029133
הכשרה חב לביטוח	פיננסי - ביטוח - ביטוח                    	שנקר 2, תל-אביב                            	03-7962624  	03-5168338 	www.hcsra.co.il                	royd@hcsra.co.il                  	הכשרה חברה לביטוח בעמ                       	1187      	520042177
הכשרת הישוב    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	בית הכשרת הישוב, שנקר 2, תל-אביב           	03-7962224  	03-7962226 	www.ildc.co.il                 	kim@ildc.co.il                    	חברת הכשרת הישוב בישראל בעמ                 	612       	520020116
הלמן אלדובי גמל	פיננסי - שרותים פיננסיים - שרותים פיננסיים	בן גוריון 2, רמת גן                        	03-6000287  	03-6121809 	www.hag.co.il                  	inbar@gemel.co.il                 	הלמן אלדובי קופות גמל ופנסיה בעמ            	1623      	512227265
המלט           	ריאלי - תעשיה - מתכת ומוצרי בניה          	היוצר 1, אזור תעשיה ציפורית, נצרת עילית    	04-6414141  	04-6418377 	www.ham-let.com                	limors@ham-let.co.il              	המ-לט (ישראל-קנדה) בעמ                      	68        	520041575
המשביר 365     	ריאלי - מסחר ושרותים - מסחר               	הצורן 1, נתניה                             	09-8926666  	09-8926696 	www.mashbir.co.il              	ifat@m365mail.co.il               	המשביר 365 החזקות בעמ                       	1459      	513389270
הראל הנפקות    	פיננסי - ביטוח - ביטוח                    	אצל הראל ביטוח,אבא הלל 3, רמת גן           	03-7547575  	03-7547100 	                               	natalym@harel-ins.co.il           	הראל ביטוח מימון והנפקות בעמ                	1367      	513834200
הראל השקעות    	פיננסי - ביטוח - ביטוח                    	אבא הלל 3, רמת-גן                          	03-7547111  	03-7547100 	www.harel-group.co.il          	natalym@harel-ins.co.il           	הראל השקעות בביטוח ושרותים פיננסים בעמ      	585       	520033986
הראל מטבעות    	מכשירים פיננסים - תעודות סל - תעודות סל   	הראל פיננסים,ז'בוטינסקי 7, רמת-גן          	03-7546050  	03-7546269 	www.harel-sal.co.il            	davidy@rlf.co.il                  	הראל סל מטבעות בעמ                          	1525      	514029156
הראל סל        	מכשירים פיננסים - תעודות סל - תעודות סל   	ז'בוטינסקי 7, רמת גן                       	03-7546090  	03-7546280 	www.harel-sal.co.il            	uris@harel-finance.co.il          	הראל סל בעמ                                 	1523      	514103811
וו.טי.פי.      	הייטק - טכנולוגיה - קלינטק                	רוח חקלאי, מנחם בגין 11, רמת גן            	03-6133969  	077-5590647	www.wtptech.com                	info@wtptech.com                  	וו.טי.פי. ישראל (פסולת למוצר) בעמ           	1070      	520043001
וואן טכנולוגיות	הייטק - טכנולוגיה - שרותי מידע            	העמל 1, פארק אפק, ראש העין                 	03-9767800  	03-9767801 	www.one1.co.il                 	dvorak@one1.co.il                 	וואן טכנולוגיות תוכנה בעמ                   	161       	520034695
ווידמד (ש)     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	הפנינים 53, א.ת.צפוני, אשקלון              	08-8526010  	08-6722728 	                               	moran@t-finance.co.il             	ווידמד בעמ                                  	1373      	512962473
וויטסמוק       	הייטק - טכנולוגיה - תוכנה ואינטרנט        	הנחושת 4, תל אביב                          	03-6376800  	03-6486133 	www.whitesmoke.com             	guy@whitesmokeinc.com             	וויטסמוק תוכנה בעמ                          	216       	520036096
וויי-בוקס      	ריאלי - נדלן ובינוי - נדלן ובינוי         	אלנבי 105, תל אביב                         	03-6285300  	03-5100196 	                               	yehuda@ybox.co.il                 	וויי-בוקס נדלן בעמ                          	486       	520038688
ווקסיל ביו     	הייטק - ביומד - ביוטכנולוגיה              	אצל VAXILBIO, פארק המדע, נס ציונה          	08-9396948  	08-9396996 	www.vaxilbio.com               	julian.levy@vaxilbio.com          	ווקסיל ביו בעמ                              	574       	520033242
ויז'ן סיגמא    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	גלגלי הפלדה 11, הרצליה                     	09-9709993  	09-9709998 	                               	limor@sigalit.com                 	ויז'ן סיגמא בעמ                             	350       	520037987
וילאר          	ריאלי - נדלן ובינוי - נדלן ובינוי         	תד 3146, פארק התעשיה, קיסריה               	04-6272770  	04-6275832 	www.villar.co.il               	yossig@villar.co.il               	וילאר אינטרנשיונל בעמ                       	416       	520038910
וילי פוד       	ריאלי - מסחר ושרותים - מסחר               	נחל חריף 4, יבנה                           	08-9321000  	08-9321003 	www.willi-food.co.il           	pavel@willi-food.co.il            	וילי פוד השקעות בעמ                         	371       	520038225
ויקטורי        	ריאלי - מסחר ושרותים - מסחר               	הכישור 3, גן יבנה                          	08-8674994  	08-8674208 	www.abavictory.com             	eravid@abavictory.co.il           	ויקטורי רשת סופרמרקטים בעמ                  	1583      	514068980
ויתניה         	ריאלי - נדלן ובינוי - נדלן ובינוי         	ראול ולנברג 4, רמת החייל, תל אביב          	03-6488777  	03-6488774 	                               	sgs@s-g-s.co.il                   	ויתניה בעמ                                  	1515      	512096793
ורדינון נדלן   	ריאלי - נדלן ובינוי - נדלן ובינוי         	מגשימים 20, פתח-תקוה                       	03-9232777  	03-9210766 	                               	zamir@wardinon.com                	ורדינון נדלן והשקעות בעמ                    	114       	520033895
זנלכל          	ריאלי - תעשיה - מזון                      	אזור תעשיה,אלון תבור,תד 2445, עפולה        	04-6595555  	04-6597568 	www.sanlakol.com               	yosi_b@sanlakol.co.il             	זנלכל בעמ                                   	130       	520034208
זרח יהש        	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	מנחם בגין 11, מגדל איילון,ק'12, רמת גן     	03-6120033  	03-6124050 	                               	ginko@bezeqint.net                	זרח חיפושי נפט וגז-שותפות מוגבלת            	1369      	550222764
חבס            	ריאלי - נדלן ובינוי - נדלן ובינוי         	ריבל 18, תל-אביב                           	03-6876060  	03-6871417 	www.habas.co.il                	shachar@habas1.com                	חבס השקעות (1960) בעמ                       	415       	520039017
חברה לישראל    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	תד 20456, תל-אביב                          	03-6844517  	03-6844587 	www.israelcorp.com             	mayaak@israelcorp.com             	החברה לישראל בעמ                            	576       	520028010
חג'ג' נדלן     	ריאלי - נדלן ובינוי - נדלן ובינוי         	מנחם בגין 132(עזריאלי), תל אביב            	03-6081936  	03-6952958 	                               	office@hagag-group.co.il          	קבוצת חג'ג' ייזום נדלן בעמ                  	823       	520033309
חד-אסף         	ריאלי - תעשיה - מתכת ומוצרי בניה          	תד 493, עכו                                	04-9015000  	04-9552230 	www.hodmetal.co.il             	efrat@hodindustry.co.il           	חד-אסף תעשיות בעמ                           	351       	520038449
